Compound_CID,Name,SMILES
83947,Acetaminophen hemisuccinate,CC(=O)NC1=CC=C(C=C1)OC(=O)CCC(=O)O
95213,4'-Isopropoxyacetanilide,CC(C)OC1=CC=C(C=C1)NC(=O)C
9871508,Acetaminophen; Aspirin; Caffeine,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
552176,"Acetamide, N-(trimethylsilyl)-N-[4-[(trimethylsilyl)oxy]phenyl]-",CC(=O)N(C1=CC=C(C=C1)O[Si](C)(C)C)[Si](C)(C)C
6918532,Ncx-701,CC(=O)NC1=CC=C(C=C1)OC(=O)CCCO[N+](=O)[O-]
45750,N-hydroxy-N-(4-hydroxyphenyl)acetamide,CC(=O)N(C1=CC=C(C=C1)O)O
5748525,Acetaminophen; Hydrocodone Bitartrate,CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
128894,4-(Acetylamino)phenyl 2-thiophenecarboxylate,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CS2
580765,"Acetamide, N-(2,4-dihydroxyphenyl)-",CC(=O)NC1=C(C=C(C=C1)O)O
2404811,1-[3-(Chloromethyl)-4-hydroxyphenyl]ethan-1-one,CC(=O)C1=CC(=C(C=C1)O)CCl
234720,4-Acetamido-2-acetyloxybenzoic acid,CC(=O)NC1=CC(=C(C=C1)C(=O)O)OC(=O)C
5492657,Propain,CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.OP(=O)(O)O.Cl
155905777,N-(4-(4-Acetamido-2-hydroxyphenoxy)phenyl)acetamide,CC(=O)NC1=CC=C(C=C1)OC2=C(C=C(C=C2)NC(=O)C)O
11139143,Methyl 4-[acetyl(methyl)amino]-2-methoxybenzoate,CC(=O)N(C)C1=CC(=C(C=C1)C(=O)OC)OC
10041933,N-Acetylmethionine 4-(acetylamino)phenyl ester,CC(=O)NC1=CC=C(C=C1)OC(=O)C(CCSC)NC(=O)C
11581230,Acetaminophen; Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)NC1=CC=C(C=C1)O
11247932,"N-(4-Hydroxyphenyl)acetamide-(5alpha)-3-methoxy-17-methyl-4,5-epoxymorphinan-6-one",CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4
12383390,4-Acetamido-2-methoxybenzoic acid,CC(=O)NC1=CC(=C(C=C1)C(=O)O)OC
23677080,"Sodium 6-(4-acetamidophenoxy)-3,4,5-trihydroxy-2-oxanecarboxylate",CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)[O-])O)O)O.[Na+]
18452830,2-Acetamido-4-hydroxybenzoic acid,CC(=O)NC1=C(C=CC(=C1)O)C(=O)O
46841219,"Acetamide, N-(4-hydroxyphenyl)-, hydrochloride (1:1)",CC(=O)NC1=CC=C(C=C1)O.Cl
22821921,"Betamethasone 9,11-epoxide 17,21-dipropionate",CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@H]3[C@@]4([C@H]2CCC5=CC(=O)C=C[C@@]54C)O3)C)C)OC(=O)CC
44147053,"Morphinan-6-ol, 7,8-didehydro-4,5-epoxy-3-methoxy-17-methyl-, (5alpha,6alpha)-, mixt. with 3,7-dihydro-1,3,7-trimethyl-1H-purine-2,6-dione, N-(4-ethoxyphenyl)acetamide and N-(4-hydroxyphenyl)acetamide",CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
57350642,3-Cysteinylacetaminophen trifluoroacetic acid salt,CC(=O)NC1=CC(=C(C=C1)O)SC[C@@H](C(=O)O)N.C(=O)(C(F)(F)F)O
56841580,Acetaminophen mixture with orphenadrine citrate,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.CC(=O)NC1=CC=C(C=C1)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
56841820,Acetaminophen mixture with caffeine and dipyrone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].CC(=O)NC1=CC=C(C=C1)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.[Na+]
71312752,Acetaminophen Dimer-d6,[2H]C([2H])([2H])C(=O)NC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)NC(=O)C([2H])([2H])[2H])O
71369141,N-(4-Hydroxyphenyl)acetamide--methanol (1/1),CC(=O)NC1=CC=C(C=C1)O.CO
73388907,Ethyl 4-acetamido-2-ethoxybenzoate,CCOC1=C(C=CC(=C1)NC(=O)C)C(=O)OCC
71312745,"sodium;(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(4-((2,2,2-trideuterioacetyl)amino)phenoxy)oxane-2-carboxylate",[2H]C([2H])([2H])C(=O)NC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)[O-])O)O)O.[Na+]
132274129,N-[3-nitro-4-(silyloxy)phenyl]-N-silylacetamide,CC(=O)N(C1=CC(=C(C=C1)O[Si])[N+](=O)[O-])[Si]
166174213,Acetaminophen Impurity 38,CC(=O)NC1=CC(=C(C=C1)O)C2=CC(=CC(=C2O)C3=C(C=CC(=C3)NC(=O)C)O)NC(=O)C
156629,"Acetamide, N-(4-(beta-D-glucopyranosyloxy)phenyl)-",CC(=O)NC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
161950,3-Hydroxyacetaminophen,CC(=O)NC1=CC(=C(C=C1)O)O
162260,N-(4-Hydroxy-3-(methylthio)phenyl)acetamide,CC(=O)NC1=CC(=C(C=C1)O)SC
135502776,1-(4-Hydroxyphenyl)ethanone Oxime,C/C(=N\O)/C1=CC=C(C=C1)O
139205670,Acetaminophen:methanol solvate,CC(=O)NC1=CC=C(C=C1)O.CC(=O)NC1=CC=C(C=C1)O.CC(=O)NC1=CC=C(C=C1)O.CO.CO.CO
145875110,rac-Acetaminophen Mercapturate-d5 (Major),[2H]C1=CC(=C(C(=C1NC(=O)C([2H])([2H])[2H])[2H])SCC(C(=O)O)NC(=O)C)O
45358902,Acetaminophen-D3 sulphate potassium salt,[2H]C([2H])([2H])C(=O)NC1=CC=C(C=C1)OS(=O)(=O)[O-].[K+]
169432498,Acetaminophen Mercapurate Disodium Salt,CC(=O)NC1=CC(=C(C=C1)[O-])SCC(C(=O)[O-])NC(=O)C.[Na+].[Na+]
176472929,4-Acetamido-6-hydroxyisophthalic acid,CC(=O)NC1=CC(=C(C=C1C(=O)O)C(=O)O)O
71361566,N-(4-Hydroxyphenyl)acetamide--water (1/3),CC(=O)NC1=CC=C(C=C1)O.O.O.O
68110089,N-(4-Hydroxyphenyl)acetamide--water (1/1),CC(=O)NC1=CC=C(C=C1)O.O
131637069,"4,4'-Iminodiphenol hydrochloride",C1=CC(=CC=C1NC2=CC=C(C=C2)O)O.Cl
