Compound_CID,Name,SMILES
56841901,Parathyroid hormone (1-34)amide,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC5=CN=CN5)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)N
131858022,"Parathyroid hormone (7-34)amide, Tyr(34)-",CCCC[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC5=CN=CN5)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC6=CC=C(C=C6)O)C(=O)N)NC(=O)[C@H](CC7=CC=CC=C7)N
5284422,N-methyl-N-[4-[(E)-2-quinolin-4-ylethenyl]phenyl]nitrous amide,CN(C1=CC=C(C=C1)/C=C/C2=CC=NC3=CC=CC=C23)N=O
125702,N-Carbobenzoxyglycyl-prolyl-4-methylcoumarinyl amide,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)[C@@H]3CCCN3C(=O)CNC(=O)OCC4=CC=CC=C4
126302,Succinylglycyl-prolyl-leucyl-glycyl-prolyl-4-methylcoumaryl-7-amide,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)[C@@H]3CCCN3C(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)CNC(=O)CCC(=O)O
129914,N-Acetylglutaminylglutamine amide,CC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N
122148,Pyroglutamyl-glutamyl-proline amide,C1C[C@H](N(C1)C(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCC(=O)N2)C(=O)N
6788788,N-(3-hydroxyimino-4-oxo-4-pyridin-3-ylbutyl)-N-methylnitrous amide,CN(CCC(=NO)C(=O)C1=CN=CC=C1)N=O
159153700,N-(2-pyridin-2-ylethyl)-N-[4-(trifluoromethyl)phenyl]nitrous amide,C1=CC=NC(=C1)CCN(C2=CC=C(C=C2)C(F)(F)F)N=O
175674806,"N-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)-N-(3-(4-(2-methoxyphenyl)piperazin-1-yl)propyl)nitrous amide",CN1C(=CC(=O)N(C1=O)C)N(CCCN2CCN(CC2)C3=CC=CC=C3OC)N=O
175669866,N-(4-Aminophenethyl)-N-(2-hydroxy-2-phenylethyl)nitrous Amide,C1=CC=C(C=C1)C(CN(CCC2=CC=C(C=C2)N)N=O)O
