Compound_CID,Name,SMILES
137187073,Caffeine-5-chlorosalicylic acid,CN1C2=C(N=C1C3=C(C(=CC(=C3)Cl)C(=O)O)O)N(C(=O)N(C2=O)C)C
57158367,8-(5-Hydroxypentylamino) caffeine,CN1C2=C(N=C1NCCCCCO)N(C(=O)N(C2=O)C)C
57362268,Caffeine hydrochloride,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.Cl
44579962,"(E,E)-8-[4-(3-Bromophenyl)butadien-1-yl]caffeine",CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)/C=C/C=C/C3=CC(=CC=C3)Br
57065119,8-(3-Isothiocyanatostyryl)caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)C=CC3=CC(=CC=C3)N=C=S
140216965,Caffeine-citric acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
32715,"Caffeine, 8-((2-(diethylamino)ethyl)thio)-, hydrochloride",CC[NH+](CC)CCSC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C.[Cl-]
32713,"Caffeine, 8-((2-(dimethylamino)ethyl)thio)-, hydrochloride",CN1C2=C(N=C1SCC[NH+](C)C)N(C(=O)N(C2=O)C)C.[Cl-]
32717,"Caffeine, 8-((3-(dimethylamino)propyl)thio)-, hydrochloride",CN1C2=C(N=C1SCCC[NH+](C)C)N(C(=O)N(C2=O)C)C.[Cl-]
60148,"Caffeine, 8-((beta-hydroxy-alpha-methylphenethyl)amino)-",CC(C(C1=CC=CC=C1)O)NC2=NC3=C(N2C)C(=O)N(C(=O)N3C)C
35697,"Caffeine, 8-morpholino-",CN1C2=C(N=C1N3CCOCC3)N(C(=O)N(C2=O)C)C
41792,"Caffeine, 8-((2-hydroxyethyl)thio)-",CN1C2=C(N=C1SCCO)N(C(=O)N(C2=O)C)C
41791,"Caffeine, 8-((2-hydroxyethyl)thio)-, hydrochloride",C[NH+]1C2=C(N=C1SCCO)N(C(=O)N(C2=O)C)C.[Cl-]
41789,"Caffeine, 8-((3-aminopropyl)thio)-, hydrochloride",C[NH+]1C2=C(N=C1SCCCN)N(C(=O)N(C2=O)C)C.[Cl-]
43367,8-((2-Hydroxypropyl)amino)caffeine,CC(CNC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C)O
56858,"Caffeine, 8-((3-hydroxypropyl)amino)-",CN1C2=C(N=C1NCCCO)N(C(=O)N(C2=O)C)C
21966,Caffeine bromide,C[NH+]1C=NC2=C1C(=O)N(C(=O)N2C)C.[Br-]
22994,"Caffeine, 8-((2-aminoethyl)thio)-",CN1C2=C(N=C1SCCN)N(C(=O)N(C2=O)C)C
3033115,"Caffeine, 8-mercapto-, hydrochloride",C[NH+]1C2=C(NC1=S)N(C(=O)N(C2=O)C)C.[Cl-]
15936155,Caffeine-(trimethyl-13C3),[13CH3]N1C=NC2C1C(=O)N(C(=O)N2[13CH3])[13CH3]
172432385,Caffeine-acrylamide,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC=CC(=O)N
125740,Caffeine mixture with ergotamine tartrate,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCCC3C2O1)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O
133162,"Dihydrocodeine bitartrate, aspirin and caffeine",CCOC1=CC=C(C=C1)NC(=O)C.CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.Cl
