,Compound_CID,Name,SMILES
48,66723736,1-[2-(2-Hydroxy-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine,CC(=CCN1C2=C(N=C1N3CCCC(C3)NC(=O)OC(C)(C)C)N(C(=O)N(C2=O)CC(=O)C4=CC=CC=C4O)C)C
49,12879841,1-Methyl-7-(pivaloyloxymethyl)xanthine,CC(C)(C)C(=O)OCN1C=NC2=C1C(=O)N(C(=O)N2)C
50,12879842,1-Methyl-3(carboethoxypropyl)-7-(pivaloyloxymethyl)xanthine,CCOC(=O)CCCN1C2=C(C(=O)N(C1=O)C)N(C=N2)COC(=O)C(C)(C)C
51,10154489,"1,3-Di-n-butyl-8-bromo Xanthine",CCCCN1C2=C(C(=O)N(C1=O)CCCC)NC(=N2)Br
52,53711796,2-(3-Methyl-xanthine-7-yl)acetamidoxime,CN1C2=C(C(=O)NC1=O)N(C=N2)CC(=NO)N
53,57498924,1-[2-(3-Methoxycarbonylamino-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert-butyloxycarbonylamino)-piperidin-1-yl]-xanthine,CC(=CCN1C2=C(N=C1N3CCCC(C3)NC(=O)OC(C)(C)C)N(C(=O)N(C2=O)CC(=O)C4=CC(=CC=C4)NC(=O)OC)C)C
54,121513846,Xanthine amine congener (dihydrochloride),CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCC(=O)NCCN.Cl.Cl
55,9857658,"1,3-Dicyclopropylmethyl-8-nitro xanthine",C1CC1CN2C3=C(C(=O)N(C2=O)CC4CC4)NC(=N3)[N+](=O)[O-]
56,156705020,Xanthine oxidase-IN-4,CC(C)OC1=C(C=C(C=C1)C2=NC=C3C(=N2)NNC3=O)C#N
57,6857356,Xanthine-8-carboxylate,C12=C(NC(=O)NC1=O)N=C(N2)C(=O)[O-]
58,14154538,"1,3-Dipropyl-8-tetrahydrofuranyl xanthine",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCO3
