Compound_CID,Name,SMILES
46781933,Ibuprofen Acyl-beta-D-glucuronide,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@@H]2[C@@H]([C@@H]([C@H](C(O2)C(=O)O)O)O)O
134163452,Ibuprofen acetate,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OOC(=O)C
163339084,Ibuprofen Impurity X,CC(C)CC1=CC=C(C=C1)C(C)C(=O)N(C)C[C@@H](C2=CC(=CC=C2)O)O
56841698,Dicyclomine hydrochloride/ibuprofen,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.Cl
131747929,Ibuprofen Octylammonium Salt,CCCCCCCC[NH3+].CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-]
54255593,Ibuprofen-p-nitrophenyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2=CC=C(C=C2)[N+](=O)[O-]
131718233,S(+)-ibuprofen L-(+)-lactic acid,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O.C[C@@H](C(=O)O)O
156600148,Ibuprofen bromobutyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCCCBr
156600164,Nitroxybutyl-ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)(CCCCO[N+](=O)[O-])C(=O)O
125390227,(S)-Ibuprofen (S)-Methocarbamol Ester,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O[C@@H](COC2=CC=CC=C2OC)COC(=O)N
76968625,Ibuprofen-piconol,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)OCC2=CC=CC=N2
145864111,Benzalkonium Ibuprofenate,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-]
145864119,Procainium Ibuprofen,CC[NH+](CC)CCOC(=O)C1=CC=C(C=C1)N.CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-]
91723718,"Ibuprofen, tridecyl ester",CCCCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
91723754,"Ibuprofen, nonyl ester",CCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
69294149,Didecyldimethylammonium Ibuprofenate,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-]
67107968,"Ibuprofen 4,4'-bipyridine",CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C1=CN=CC=C1C2=CC=NC=C2
131740096,Memantine (S)-Ibuprofen,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O.CC12CC3CC(C1)(CC(C3)(C2)N)C
86612072,Benzalkonium Ibuprofen,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
89271134,Ibuprofen phenyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2=CC=CC=C2
86615608,Copper Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.[Cu]
69821745,Ibuprofen-8-bromooctyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCCCCCCCBr
91723719,"Ibuprofen, pentadecyl ester",CCCCCCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
91723755,"Ibuprofen, undecyl ester",CCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
66895719,Water ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.O
123299067,(r)-Ibuprofen-phenyl ester,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)OC2=CC=CC=C2
165363571,Ibuprofen-13C3,CC(C)CC1=CC=C(C=C1)[13CH]([13CH3])[13C](=O)O
136387733,Acyclovir Imidazole Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C1=CN=CN1.C1=NC2=C(N1COCCO)N=C(NC2=O)N
146571251,(S)-(+)-Ibuprofen Propylene Glycol Ester,[2H]C([2H])(C([2H])([2H])N)C([2H])([2H])NC(=O)OC(C)(C)C
91470718,"Ibuprofen, decyl ester",CCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
77994170,Ibuprofen-1-acetoxyethyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC(C)OC(=O)C
139206931,[Cu~2~(Ibuprofenate)~4~(DMF)~2~] . xDMF,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)[O-].C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)[O-].C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)[O-].C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)[O-].CN(C)C=O.CN(C)C=O.[Cu+2].[Cu+2]
132489055,Ibuprofen impurity 118,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
169435165,rac 2-(tert-Butyldimethylsilyloxy) Ibuprofen-d6,[2H]C([2H])([2H])C(CC1=CC=C(C=C1)C(C)C(=O)O)(C([2H])([2H])[2H])O[Si](C)(C)C(C)(C)C
169435177,Ibuprofen EP Impurity B Sodium,CCCCC1=CC=C(C=C1)C(C)C(=O)[O-].[Na+]
10041875,Ibuprofen nitroxybutyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCCCO[N+](=O)[O-]
169439577,Des-2-(4-Isobutyl) 2-(4-(1-Carboxyethyl)-3-ethoxy-2-methyl-3-oxo Ibuprofen,CCOC(=O)C(C)(CC1=CC=C(C=C1)C(C)C(=O)O)C(=O)O
169442361,rac-Ibuprofen-13C3,CC(C1=CC=C(C=C1)C[13CH]([13CH3])[13CH3])C(=O)O
169442364,Ibuprofen Sorbitol Ester (Mixture of Diastereomers),CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O.CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
141578778,Ibuprofen methanol,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CO
176474697,Ibuprofen Impurity 71,CC(C)C1=CC=C(C=C1)C2(OCC(CO2)(C)C)C(C)Cl
176474701,Ibuprofen Impurity 109,CCCC1=CC=C(C=C1)C(C)C(=O)OCC(C)(C)CCl
176474705,Ibuprofen Impurity 113,CC(C)C1=CC=C(C=C1)C(C)C(=O)OCC(C)(C)CCl
176474713,Ibuprofen impurity 137,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@@H](CNC)C2=CC(=CC=C2)O.Cl
176474717,Ibuprofen impurity 144,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC[C@H]([C@H]([C@@H]([C@H](COC(=O)C(C)C2=CC=C(C=C2)CC(C)C)O)O)O)O
