,Compound_CID,Name,SMILES
94,176481416,Naproxen Impurity 17,CC(C(=O)C1=CC2=C(C=C1)C=C(C=C2)OC)OCC(C)(C)CO
95,44208596,Memantine Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.CC12CC3CC(C1)(CC(C3)(C2)N)C
96,129098564,Naproxen phenyl ester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC3=CC=CC=C3
97,168339161,S-naproxen DL-proline 1:1 cocrystal,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@@H]([NH2+]C1)C(=O)[O-].C1C[C@H]([NH2+]C1)C(=O)[O-]
98,71750939,(S)-Naproxen ethyl ester-d5,[2H]C([2H])([2H])C([2H])([2H])OC(=O)[C@@H](C)C1=CC2=C(C=C1)C=C(C=C2)OC
99,168308049,Naproxen-picolinamide (1/1),C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1=CC=NC(=C1)C(=O)N.C1=CC=NC(=C1)C(=O)N
100,23276885,"Naproxen,(N,N-di-OH-Et)gylcolamide ester",CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCC(=O)N(CCO)CCO
101,23276582,"Naproxen,(N-Me-N-hydroxyethyl)gycolamide ester",CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCC(=O)N(C)CCO
102,390923,(S)-Naproxen-propargylester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCC#C
103,169444626,rac-Naproxen-13C3,[13CH3]C(C1=CC2=C(C=C1)C=C(C=C2)O[13CH3])[13C](=O)O
104,129733623,ZINC-naproxen,CC(C(=[Zn])/C=C\C1=[C-]C=CC(=C1)OC)C(=O)O
105,171921279,Naproxen-d6 acyl-beta-D-glucuronide,[2H]C1=C(C(=C(C2=C1C(=C(C(=C2[2H])[2H])OC)[2H])[2H])C(C)C(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)[2H]
106,168339162,S-naproxen L-proline 2:3 cocrystal,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@H]([NH2+]C1)C(=O)[O-].C1C[C@H]([NH2+]C1)C(=O)[O-].C1C[C@H]([NH2+]C1)C(=O)[O-]
107,168339166,"RS-naproxen D-proline 1:1 cocrystal, polymorph I",C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@@H]([NH2+]C1)C(=O)[O-].C1C[C@@H]([NH2+]C1)C(=O)[O-]
108,129866262,Phospho-naproxen,C[C@@H](C1=C(C2=C(C=C1)C=C(C=C2)OC)P(=O)=O)C(=O)O
109,129826730,"(r,s)-Naproxen thioester",C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OS
110,129628919,Naproxen AL,C[C@@H](C1=C(C2=C(C=C1)C=C(C=C2)OC)C=O)C(=O)O
111,124417976,(R)-5-Chloro Naproxen,C[C@H](C1=CC2=C(C=C1)C(=C(C=C2)OC)Cl)C(=O)O
112,176481418,Naproxen Impurity 33,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCC(C(C(C(CO)O)O)O)O
113,176481422,Naproxen Impurity 7,COCC1=CC2=C(C=C1)C=C(C=C2)C/C=N/O
114,168339160,"RS-naproxen DL-proline 1:1 cocrystal, polymorph II",C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@@H]([NH2+]C1)C(=O)[O-]
115,168339164,"S-naproxen L-proline 1:1 cocrystal, polymorph II",C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@H]([NH2+]C1)C(=O)[O-].C1C[C@H]([NH2+]C1)C(=O)[O-]
116,102602145,Naproxen Diisopropyl Amide,CCC(=O)N.CCC(=O)N.C[C@@H](C1=CC2=C(C=C1)C(=CC=C2)OC)C(=O)O
117,168339163,1:1 S-naproxen DL-proline cocrystal hydrate,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@@H]([NH2+]C1)C(=O)[O-].C1C[C@H]([NH2+]C1)C(=O)[O-].O.O
118,138395470,"Naproxen,acetyloxymethyl ester",CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCOC(=O)C
119,169444627,"rac-Naproxen Methyl Ester-13C,d3",[2H][13C]([2H])([2H])C(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC
120,155489092,Naproxen-CoA; (Acyl-CoA); [M+H]+,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)OP(=O)(O)O)O
121,129318420,"Naproxen 1,2-Propylene Glycol Esters (Mixture of Isomers)",C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCC(C)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC(C)CO
122,139196857,L-Prolinium cocrystal of RS-Naproxen,C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@H]([NH2+]C1)C(=O)[O-].C1C[C@H]([NH2+]C1)C(=O)[O-].O.O
123,129679277,Naproxen sulfonamide,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OS(=O)(=O)N
